,name,category,star,star_count,review,address,위도,경도
81,아이언쉐프,"스테이크,립",4.7,7건,28,서울 서초구 사임당로8길 10,37.4880847799566,127.015313181369
82,부산아지매국밥 BC카드점,국밥,2.9,9건,12,서울 서초구 효령로 264 1층,37.4841813353084,127.01312230063
83,서강쇠떡볶이 남부터미널점,떡볶이,3.3,4건,7,서울 서초구 효령로52길 8 혜원빌딩 1층 106호,37.4838715283798,127.012664897282
84,탐앤탐스 남부터미널역점,커피전문점,1.9,10건,4,서울 서초구 효령로 276 덕암빌딩 1층,37.484383366249,127.014453689027
85,W23 서초점,와인바,3.0,5건,11,서울 서초구 효령로 331,37.4863955036774,127.020505987682
86,도라스시,일식집,4.0,2건,22,서울 서초구 효령로60길 23-4,37.4843094649164,127.019035446922
87,서초아구해물찜탕,아구,4.6,10건,11,서울 서초구 효령로55길 15 벨타워 105호,37.4854603723598,127.01420017259
88,우리수산,회,4.0,4건,88,서울 서초구 효령로67길 7,37.487516626848,127.023420580883
89,진오돌뼈 교대점,"육류,고기",4.1,14건,12,서울 서초구 효령로53길 67,37.4876216991397,127.012720595918
90,배수경양재정육식당,"육류,고기",3.0,2건,2,서울 서초구 남부순환로339길 72,37.4862096283726,127.021504447703
91,놀숲 교대점,만화카페,4.7,3건,6,서울 서초구 사임당로 46 서초제일빌딩 2층,37.4882876281375,127.015069778842
92,동대문엽기떡볶이 교대점,떡볶이,2.3,10건,15,서울 서초구 서초중앙로 75 201호,37.4885005435472,127.014286230696
93,황궁,중화요리,2.8,10건,9,서울 서초구 효령로55길 28,37.4861327609484,127.01447946651
94,할리스커피 남부터미널점,커피전문점,4.0,5건,4,서울 서초구 서초중앙로 52 영진빌딩 1층,37.4867307777424,127.015750032123
95,가온매운갈비찜,갈비,4.3,27건,31,서울 서초구 서초대로48길 107 에덴빌딩 지하 1층,37.4882533932286,127.012744674277
96,교촌치킨 서초3호점,치킨,2.9,12건,6,서울 서초구 사임당로 31,37.4882347498646,127.013488684094
97,본죽 남부터미널점,죽,2.0,14건,4,서울 서초구 효령로 303 부속상가 10동 1층 101호,37.4854765326893,127.017334073774
98,배스킨라빈스 남부터미널역점,아이스크림,4.0,2건,4,서울 서초구 반포대로10길 35 서초지웰 103호,37.4842424493185,127.013690467291
99,카페설리번 서초점,카페,3.0,5건,16,서울 서초구 효령로 355 1층,37.4871865220316,127.022834999811
100,삼학도,회,3.5,12건,2,서울 서초구 효령로57길 4,37.4854189072992,127.017065185618
101,스시마카세,"초밥,롤",3.8,10건,5,서울 서초구 서초중앙로 42 블루핀타워B-109호,37.4858656509843,127.016257753357
102,크리스피크림도넛 남부터미널점,도넛,0.0,0건,3,서울 서초구 효령로 292 서울남부터미널 상가 1층,37.4835466074664,127.015110886678
103,전주 콩뿌리콩나물국밥,국밥,2.3,5건,13,서울 서초구 효령로53길 23,37.4856969721579,127.0134734159
104,깐부치킨 남부터미널점,치킨,2.8,21건,8,"서울 서초구 서초중앙로 42 블루핀타워 B107,B108",37.4858656509843,127.016257753357
105,바른치킨 남부터미널점,치킨,4.2,20건,28,서울 서초구 반포대로10길 35 서초지웰 상가동 1층 101호,37.4842424493185,127.013690467291
106,허수아비 남부터미널점,"돈까스,우동",3.2,16건,10,서울 서초구 효령로 307 지하 1층,37.4855962923795,127.01783408772
107,바르다김선생 남부터미널점,분식,2.3,9건,11,서울 서초구 반포대로14길 71 LG서초에클라트 1층,37.4869095170024,127.01450471794
108,전주콩나루 콩나물국밥,국밥,3.7,3건,6,서울 서초구 서초중앙로 43 로얄타워,37.4855373251844,127.015576900888
109,삼보부대고기,"찌개,전골",4.1,22건,16,서울 서초구 효령로68길 102 선민빌딩 지하 1층,37.4854064736992,127.019398672306
110,초막집 서초본점,"육류,고기",3.0,7건,5,서울 서초구 사임당로 46,37.4882876281375,127.015069778842
111,카툰바이커피 서초본점,만화카페,5.0,3건,17,서울 서초구 효령로53길 45 지하1층,37.4865276721133,127.012932415371
112,쏘옥,"제과,베이커리",4.6,8건,13,서울 서초구 사임당로8길 13 1층,37.4879089490512,127.015650889722
113,홍루몽,중식,4.7,6건,4,서울 서초구 반포대로12길 26,37.4847898270854,127.01275019151
114,파리바게뜨 남부터미널점,"제과,베이커리",3.0,9건,1,서울 서초구 효령로 279,37.4849415024327,127.014765522044
115,팔당반점 서초직영점,중화요리,3.5,4건,7,서울 서초구 남부순환로 2457 1층,37.4827477317651,127.01912764981
116,까페라리 서초점,커피전문점,4.2,10건,17,서울 서초구 서초중앙로2길 37 1층,37.4841775919612,127.019376306751
117,육대장 남부터미널점,국밥,3.3,4건,10,서울 서초구 반포대로14길 42 오영빌딩 2층,37.4858456414219,127.013448002236
118,금화왕돈까스 남부터미널점,"돈까스,우동",1.6,7건,4,서울 서초구 서초중앙로 26 1층 116호,37.4846872089607,127.016991752076
119,이디야커피 남부터미널점,커피전문점,2.3,3건,2,서울 서초구 효령로60길 15,37.4847196331124,127.01885373992
120,설빙 남부터미널점,디저트카페,1.7,7건,5,서울 서초구 효령로 264 2층,37.4841813353084,127.01312230063
121,다동 모밀우동오뎅전문,"돈까스,우동",2.1,32건,10,서울 서초구 사임당로 33,37.4883244624687,127.013729882838
122,팔도명가산야채순대국 본점,순대,3.2,10건,3,서울 서초구 서초중앙로 58 피앤디솔로빌 1층,37.4871437304777,127.015593855751
123,항아리식당,한식,5.0,2건,1,서울 서초구 남부순환로339길 64,37.4859259765406,127.021583627348
124,죠스떡볶이 남부터미널점,떡볶이,1.8,6건,7,서울 서초구 반포대로14길 71 LG서초에클라트 101호,37.4869095170024,127.01450471794
125,길초밥,"초밥,롤",5.0,2건,17,서울 서초구 사임당로 28,37.4877514833018,127.01318658415
126,백암순대감자탕,순대,4.3,4건,5,서울 서초구 반포대로14길 30,37.4854144025766,127.01278286113
127,국대떡볶이 서초남부점,떡볶이,3.4,40건,8,서울 서초구 효령로 314 서광빌딩,37.4853058757741,127.018559459555
128,할리스커피 서초점,커피전문점,5.0,3건,0,서울 서초구 사임당로 26,37.4876445587152,127.012960084157
129,크리스피파이,디저트카페,5.0,2건,17,서울 서초구 효령로 258,37.4839904832456,127.012460494963
130,논골집 서초점,"육류,고기",3.3,8건,8,서울 서초구 서초중앙로 66 1층,37.4877248577343,127.015076336989
131,새마을식당 남부터미널점,"육류,고기",1.4,12건,12,서울 서초구 효령로55길 19 제일빌딩 1층,37.485658507521,127.014171603888
132,류 서초점,일본식주점,5.0,1건,16,서울 서초구 서초중앙로8길 12 1층,37.4865382572739,127.016231214753
133,커피빈 남부터미널역점,커피전문점,3.5,8건,1,서울 서초구 서초중앙로 43 로얄타워 1층,37.4855373251844,127.015576900888
134,소나기,한식,4.0,1건,5,서울 서초구 효령로68길 104,37.4853400090711,127.019216390281
135,퀴즈노스서브 남부터미널점,샌드위치,1.4,30건,11,서울 서초구 효령로 276 1층 102호,37.484383366249,127.014453689027
136,샤브향 서초남부점,동남아음식,3.2,6건,19,서울 서초구 효령로 260 2층,37.4840424529593,127.012634511497
137,카페토다 서초점,카페,3.7,3건,0,서울 서초구 반포대로14길 26,37.4853558653878,127.01251804697
138,우공뭉티기 서초점,"육류,고기",1.0,1건,36,서울 서초구 사임당로 28 1층,37.4877514833018,127.01318658415
139,강릉경북회집,회,4.0,2건,4,서울 서초구 서초중앙로5길 10-24,37.4864179119086,127.01462673757
140,해방촌HBC고깃집 남부터미널점,"육류,고기",4.6,7건,4,서울 서초구 서초중앙로 46 2층,37.4860819451591,127.015873932206
141,공차 남부터미널점,카페,3.0,3건,2,서울 서초구 효령로 292 1층,37.4835466074664,127.015110886678
142,함경순대,순대,4.1,7건,2,서울 서초구 효령로 259 동정빌딩 105호,37.484510092862,127.012479463325
143,가마로강정 교대점,닭강정,4.0,3건,2,서울 서초구 사임당로12길 16 서현빌딩 1층,37.4882662996326,127.016881073793
144,공차 서초점,카페,2.9,8건,0,서울 서초구 효령로55길 28 브이샤르망빌딩 108호 ,37.4861327609484,127.01447946651
145,밥심이,한식,4.2,10건,8,서울 서초구 효령로52길 8,37.4838715283798,127.012664897282
146,한신VIP일번지포차,실내포장마차,5.0,1건,1,서울 서초구 남부순환로339길 72 목전빌딩 1층,37.4862096283726,127.021504447703
147,중국성,중화요리,3.0,2건,2,서울 서초구 서초중앙로8길 136,37.4873594913749,127.02295988236
148,바바치킨 서초직영점,치킨,0.0,0건,2,서울 서초구 효령로52길 1,37.4841270366188,127.012829790189
149,교대전집,"호프,요리주점",1.0,1건,4,서울 서초구 서초대로48길 108,37.488164949407,127.012414489663
150,진배족발 서초점,"족발,보쌈",0.0,0건,2,서울 서초구 효령로55길 28 브이샤르망 2층 206호,37.4861327609484,127.01447946651
151,명가교동짬뽕 서초점,중화요리,3.0,13건,4,서울 서초구 반포대로14길 71,37.4869095170024,127.01450471794
152,파스쿠찌 서초점,커피전문점,3.0,4건,2,서울 서초구 서초중앙로8길 7 지하1층,37.4866756094863,127.015948005292
153,삼계탕마을 서초점,삼계탕,3.2,6건,9,"서울 서초구 효령로 316 정림빌딩 1, 2층",37.4853777314425,127.018842485471
154,셰프의돈까스 남부터미널점,"돈까스,우동",4.0,4건,10,서울 서초구 반포대로14길 71 2층,37.4869095170024,127.01450471794
155,칠번가피자 서초교대점,피자,5.0,1건,23,서울 서초구 남부순환로339길 47-1 현우빌딩 1층,37.4848865537235,127.021690628752
156,강남짬뽕,중화요리,2.0,9건,24,서울 서초구 효령로 289,37.4851294931638,127.015844898549
157,리어카포차 서초교대1호점,실내포장마차,0.0,0건,7,서울 서초구 사임당로 39 105호,37.4884189352008,127.014095010132
158,큰이모 부대찌개,"찌개,전골",5.0,2건,7,서울 서초구 효령로53길 21,37.485501901176,127.013496898963
159,강창구찹쌀진순대 남부터미널점,순대,2.6,8건,5,서울 서초구 효령로 330-1,37.4858235616857,127.020401808569
160,취홍,중식,0.0,0건,3,서울 서초구 사임당로 46,37.4882876281375,127.015069778842
161,페임커피,커피전문점,4.7,7건,5,서울 서초구 사임당로12길 17,37.4882555354808,127.01717358841
162,조가홍닭 남부터미널점,치킨,4.4,9건,5,서울 서초구 효령로55길 22 그린빌오피스텔 104호,37.4857996317481,127.014693666479
163,12바스켓,샌드위치,5.0,4건,40,서울 서초구 효령로 304 국제전자센터 지하1층,37.4847315992014,127.017803806463
164,광시 신흥농장직영점,"육류,고기",4.0,3건,5,서울 서초구 효령로60길 15,37.4847196331124,127.01885373992
165,브루웍스 남부터미널역점,"호프,요리주점",4.0,2건,8,서울 서초구 효령로55길 19 2층,37.485658507521,127.014171603888
166,원할머니보쌈족발 서초점,"족발,보쌈",3.0,2건,4,서울 서초구 효령로53길 21 신성오피스텔 1층 103호,37.485501901176,127.013496898963
167,카페포레스트,카페,4.5,2건,3,서울 서초구 효령로60길 13,37.4849380506901,127.01877125596
168,군선생 남부터미널점,"해물,생선",5.0,1건,4,서울 서초구 효령로55길 28 브이사르망 빌딩 1층,37.4861327609484,127.01447946651
169,양계장집아들,치킨,4.0,1건,6,서울 서초구 효령로57길 4,37.4854189072992,127.017065185618
170,마담버터플라이,카페,3.0,6건,10,서울 서초구 서초중앙로 48,37.4862684624841,127.015809635456
171,해물솥밥모랑 남부터미널점,"해물,생선",3.3,10건,8,서울 서초구 반포대로14길 71 LG에클라트 2층,37.4869095170024,127.01450471794
172,진미정생선구이,"해물,생선",3.0,12건,5,서울 서초구 사임당로 33,37.4883244624687,127.013729882838
173,피자스쿨 남부터미널역점,피자,4.8,9건,2,서울 서초구 서초중앙로 42 블루핀타워 103호,37.4858656509843,127.016257753357
174,병천순대왕족발,순대,3.0,4건,4,서울 서초구 효령로53길 14,37.4852731799223,127.013888071085
175,커피829 남부터미널점,커피전문점,5.0,1건,11,서울 서초구 서초동 1743-1,37.4864487576097,127.014372337906
176,파파존스 서초점,피자,5.0,1건,1,서울 서초구 효령로 318,37.485472557821,127.019152201767
177,에슬로우 서초1호점,카페,2.6,5건,2,서울 서초구 반포대로14길 58 1층,37.4861893857813,127.01413665284
178,담소소사골순대육개장 남부터미널점,순대,2.9,8건,5,서울 서초구 효령로55길 28 브이샤르망 1층 106호,37.4861327609484,127.01447946651
179,엔제리너스 남부터미널점,커피전문점,5.0,1건,1,서울 서초구 효령로 321 덕원빌딩 1층,37.4861262360947,127.019172155661
180,포프롬나드 본점,동남아음식,2.8,18건,20,서울 서초구 남부순환로331길 12,37.4830829726744,127.018717651718
181,청해복장어전문점,"해물,생선",5.0,2건,0,서울 서초구 서초중앙로 63,37.4873275895417,127.014465676374
182,통영味鮮,회,3.6,6건,0,서울 서초구 효령로68길 84,37.4855576929787,127.020292399663
183,최수사,일식집,3.0,5건,2,서울 서초구 효령로68길 112,37.4852506073616,127.018791007885
184,만리향,중화요리,1.0,1건,14,서울 서초구 서초중앙로2길 37,37.4841775919612,127.019376306751
185,명동칼국수샤브샤브 서초점,샤브샤브,3.8,5건,7,서울 서초구 효령로55길 28 샤르망빌딩 지하1층,37.4861327609484,127.01447946651
186,용궁해물탕,"매운탕,해물탕",0.0,0건,0,서울 서초구 서초중앙로8길 143,37.487689094807,127.023344650975
187,산애들,"찌개,전골",4.5,4건,4,서울 서초구 반포대로12길 51,37.4853037924927,127.014071585247
188,칠갑청국장육회 남부터미널지점,한식,3.6,16건,9,서울 서초구 효령로57길 4,37.4854189072992,127.017065185618
189,꼬꾸이,치킨,3.0,2건,4,서울 서초구 효령로 305,37.4855294785836,127.017560221616
190,황다방,다방,0.0,0건,2,서울 서초구 효령로 307,37.4855962923795,127.01783408772
191,노랑통닭 남부터미널점,치킨,3.0,6건,2,서울 서초구 효령로 303 10동 103호,37.4854765326893,127.017334073774
192,밀마을칼국수,국수,4.5,6건,6,서울 서초구 효령로52길 12,37.4837440242743,127.012770704706
193,그릴진 남부터미널역점,"육류,고기",0.0,0건,3,서울 서초구 효령로55길 22 그린빌오피스텔 지하 1층 B104호,37.4857996317481,127.014693666479
194,타미하우스 남부터미널점,샌드위치,0.0,0건,1,서울 서초구 남부순환로333길 13,37.483384328791,127.020008132847
195,플라티,카페,2.0,1건,2,서울 서초구 효령로68길 14,37.4866372742922,127.023715191547
196,미소야 서초점,"돈까스,우동",2.3,10건,4,서울 서초구 반포대로10길 35 서초지웰상가 1층 111호,37.4842424493185,127.013690467291
197,서울양꼬치,양꼬치,3.3,10건,8,서울 서초구 반포대로14길 30,37.4854144025766,127.01278286113
198,김밥천국 예술의전당점,분식,0.0,0건,1,서울 서초구 반포대로10길 35,37.4842424493185,127.013690467291
199,이베리코,한정식,5.0,4건,1,서울 서초구 남부순환로339길 23,37.4840794887023,127.022344366967
200,펀비어킹 남부터미널점,"호프,요리주점",0.0,0건,1,서울 서초구 반포대로14길 54,37.4859413703336,127.013865581091
201,브라운하우스,양식,2.0,1건,2,서울 서초구 서초중앙로2길 72-5,37.4848726479992,127.021361826438
202,진심에취하다,일본식주점,5.0,1건,2,서울 서초구 효령로52길 35 101호,37.4827173677162,127.013200736839
203,통영미선,"해물,생선",0.0,0건,2,서울 서초구 효령로68길 84 1층,37.4855576929787,127.020292399663
204,미양마늘보쌈집 남부터미널점,"족발,보쌈",3.4,9건,5,서울 서초구 서초중앙로 26 래미안 서초유니빌 2층 220호,37.4846872089607,127.016991752076
205,송사부수제쌀고로케 남부터미널점,"제과,베이커리",3.0,5건,70,서울 서초구 효령로 292 1층 108호,37.4835466074664,127.015110886678
206,요거프레소 서울교대점,디저트카페,3.5,2건,2,서울 서초구 사임당로 38 103호,37.4880750904502,127.014262743844
207,해월양꼬치샤브샤브 서초점,양꼬치,3.3,3건,8,서울 서초구 효령로 314 1층,37.4853058757741,127.018559459555
208,소윤화,중화요리,4.5,2건,3,서울 서초구 남부순환로323길 49,37.4832903615863,127.013620758944
209,한솥도시락 국제전자센터옆점,도시락,2.0,4건,6,서울 서초구 효령로 314,37.4853058757741,127.018559459555
210,EU,카페,5.0,5건,7,서울 서초구 효령로52길 8,37.4838715283798,127.012664897282
211,카페준,카페,0.0,0건,22,서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 1층 106호,37.4858654442726,127.015099594605
212,오징어나라 서초점,"해물,생선",3.3,5건,1,서울 서초구 반포대로14길 42,37.4858456414219,127.013448002236
213,라이브잼,라이브카페,0.0,0건,2,서울 서초구 효령로55길 57 지하1층,37.4872629612234,127.013932649965
214,김밥,분식,0.0,0건,1,서울 서초구 사임당로 21,37.4879304099777,127.012481502204
215,참살이청국장,"찌개,전골",5.0,2건,2,서울 서초구 서초중앙로 63,37.4873275895417,127.014465676374
216,더대박치킨 서초점,치킨,4.6,8건,3,서울 서초구 서초중앙로 49 동양라디안루키 1층 103호,37.4861258292985,127.015149284172
217,홍등,중식,4.7,3건,3,서울 서초구 서초대로48길 103 1층,37.488442446367,127.012542081021
218,송황칼국수,한식,4.0,3건,3,서울 서초구 남부순환로339길 51,37.4852447288975,127.021557652003
219,왕떡볶이,떡볶이,4.0,4건,1,서울 서초구 남부순환로339길 60,37.4856632268725,127.021669144238
220,파리바게뜨 서초중앙점,"제과,베이커리",3.5,6건,2,서울 서초구 서리풀길 1,37.4865008426468,127.020956145229
221,한가람,한식뷔페,0.0,0건,0,서울 서초구 사임당로 38 큐브플러스 지하1층,37.4880750904502,127.014262743844
222,가마솥감자탕,감자탕,4.0,1건,0,서울 서초구 남부순환로339길 47-1 현우빌딩 1층,37.4848865537235,127.021690628752
223,벨라빈스커피 남부터미널점,커피전문점,2.3,4건,1,서울 서초구 효령로55길 28 서초브이샤르망 1층,37.4861327609484,127.01447946651
224,장어만구이,장어,5.0,2건,0,서울 서초구 사임당로 25,37.4880009230794,127.012816092593
