,name,category,address,score,eval_cnt,review_cnt
70,김봉남포장마차 남부터미널점,실내포장마차,(지번) 서초동 1586-2,4.7,6건,리뷰 26
71,백년불고기물갈비 서초점,"불고기,두루치기",(지번) 서초동 1601-2,4.6,5건,리뷰 26
72,롯데리아 남부터미널점,패스트푸드,(지번) 서초동 1602-10,2.0,21건,리뷰 8
73,진미일식,일식,(지번) 서초동 1443-27,5.0,3건,리뷰 12
74,오늘와인한잔 남부터미널역점,와인바,(지번) 서초동 1446-11,4.0,2건,리뷰 17
75,신선설농탕 서초점,설렁탕,(지번) 서초동 1443-8,3.4,15건,리뷰 6
76,에머이 남부터미널점,베트남음식,(지번) 서초동 1445-4,2.9,16건,리뷰 185
77,찜통 남부터미널점,"육류,고기",(지번) 서초동 1457-2,2.8,38건,리뷰 32
78,티안,카페,(지번) 서초동 1629-20,4.3,3건,리뷰 26
79,스타벅스 서초동점,커피전문점,(지번) 서초동 1439-14,4.0,8건,리뷰 1
80,BHC치킨 서초교대점,치킨,(지번) 서초동 1627-5,4.3,4건,리뷰 2
81,예술상회,한식,(지번) 서초동 1457-4,5.0,4건,리뷰 35
82,바나프레소 남부터미널점,카페,(지번) 서초동 1603-15,2.8,4건,리뷰 10
83,오우치,"육류,고기",(지번) 서초동 1458-4,5.0,7건,리뷰 20
84,북창동순두부 서초점,두부전문점,(지번) 서초동 1443-11,2.4,5건,리뷰 14
85,예향,한식,(지번) 서초동 1621-6,0.0,1건,리뷰 4
86,칭하이,중화요리,(지번) 서초동 1443-25,2.3,9건,리뷰 25
87,엘마론,카페,(지번) 서초동 1600-4,4.2,11건,리뷰 8
88,수미관,한정식,(지번) 서초동 1427-5,4.3,3건,리뷰 21
89,동수원갈비 서초본점,갈비,(지번) 서초동 1601-1,2.7,3건,리뷰 3
90,아이언쉐프,"스테이크,립",(지번) 서초동 1624-4,4.7,7건,리뷰 28
91,부산아지매국밥 BC카드점,국밥,(지번) 서초동 1458-3,2.9,9건,리뷰 12
92,서강쇠떡볶이 남부터미널점,떡볶이,(지번) 서초동 1459-9,3.3,4건,리뷰 7
93,탐앤탐스 남부터미널역점,커피전문점,(지번) 서초동 1457-2,1.9,10건,리뷰 4
94,W23 서초점,와인바,(지번) 서초동 1604-20,3.0,5건,리뷰 11
95,도라스시,일식집,(지번) 서초동 1444-14,4.0,2건,리뷰 22
96,서초아구해물찜탕,아구,(지번) 서초동 1588-8,4.6,10건,리뷰 11
97,우리수산,회,(지번) 서초동 1606-5,4.0,4건,리뷰 88
98,진오돌뼈 교대점,"육류,고기",(지번) 서초동 1596-6,4.1,14건,리뷰 12
99,배수경양재정육식당,"육류,고기",(지번) 서초동 1439-1,3.0,2건,리뷰 2
100,놀숲 교대점,만화카페,(지번) 서초동 1624-2,4.7,3건,리뷰 6
101,동대문엽기떡볶이 교대점,떡볶이,(지번) 서초동 1578-4,2.3,10건,리뷰 15
102,황궁,중화요리,(지번) 서초동 1601-1,2.8,10건,리뷰 9
103,할리스커피 남부터미널점,커피전문점,(지번) 서초동 1623-10,4.0,5건,리뷰 4
104,가온매운갈비찜,갈비,(지번) 서초동 1579-1,4.3,27건,리뷰 31
105,교촌치킨 서초3호점,치킨,(지번) 서초동 1579-5,2.9,12건,리뷰 6
106,본죽 남부터미널점,죽,(지번) 서초동 1603-67,2.0,14건,리뷰 4
107,배스킨라빈스 남부터미널역점,아이스크림,(지번) 서초동 1458-6,4.0,2건,리뷰 4
108,카페설리번 서초점,카페,(지번) 서초동 1606-3,3.0,5건,리뷰 16
109,삼학도,회,(지번) 서초동 1603-66,3.5,12건,리뷰 2
110,스시마카세,"초밥,롤",(지번) 서초동 1603-1,3.8,10건,리뷰 5
111,크리스피크림도넛 남부터미널점,도넛,(지번) 서초동 1446-1,0.0,0건,리뷰 3
112,전주 콩뿌리콩나물국밥,국밥,(지번) 서초동 1589-13,2.3,5건,리뷰 13
113,깐부치킨 남부터미널점,치킨,(지번) 서초동 1603-2,2.8,21건,리뷰 8
114,바른치킨 남부터미널점,치킨,(지번) 서초동 1458-6,4.2,20건,리뷰 28
115,허수아비 남부터미널점,"돈까스,우동",(지번) 서초동 1603-69,3.2,16건,리뷰 10
116,바르다김선생 남부터미널점,분식,(지번) 서초동 1599-2,2.3,9건,리뷰 11
117,전주콩나루 콩나물국밥,국밥,(지번) 서초동 1602-5,3.7,3건,리뷰 6
118,삼보부대고기,"찌개,전골",(지번) 서초1동 1443-27,4.1,22건,리뷰 16
119,초막집 서초본점,"육류,고기",(지번) 서초동 1624-2,3.0,7건,리뷰 5
120,카툰바이커피 서초본점,만화카페,(지번) 서초동 1593-7,5.0,3건,리뷰 17
121,쏘옥,"제과,베이커리",(지번) 서초동 1625-10,4.6,8건,리뷰 13
122,홍루몽,중식,(지번) 서초동 1586-2,4.7,6건,리뷰 4
123,파리바게뜨 남부터미널점,"제과,베이커리",(지번) 서초동 1602-1,3.0,9건,리뷰 1
124,팔당반점 서초직영점,중화요리,(지번) 서초동 1425-15,3.5,4건,리뷰 7
125,까페라리 서초점,커피전문점,(지번) 서초동 1444-20,4.2,10건,리뷰 17
126,육대장 남부터미널점,국밥,(지번) 서초동 1589-12,3.3,4건,리뷰 10
127,금화왕돈까스 남부터미널점,"돈까스,우동",(지번) 서초동 1445-4,1.6,7건,리뷰 4
128,이디야커피 남부터미널점,커피전문점,(지번) 서초동 1444-2,2.3,3건,리뷰 2
129,설빙 남부터미널점,디저트카페,(지번) 서초동 1458-3,1.7,7건,리뷰 5
130,다동 모밀우동오뎅전문,"돈까스,우동",(지번) 서초동 1579-9,2.1,32건,리뷰 10
131,팔도명가산야채순대국 본점,순대,(지번) 서초동 1623-3,3.2,10건,리뷰 3
132,항아리식당,한식,(지번) 서초동 1439-14,5.0,2건,리뷰 1
133,죠스떡볶이 남부터미널점,떡볶이,(지번) 서초동 1599-2,1.8,6건,리뷰 7
134,길초밥,"초밥,롤",(지번) 서초동 1597-2,5.0,2건,리뷰 17
135,백암순대감자탕,순대,(지번) 서초동 1589-5,4.3,4건,리뷰 5
136,국대떡볶이 서초남부점,떡볶이,(지번) 서초동 1443-1,3.4,40건,리뷰 8
137,할리스커피 서초점,커피전문점,(지번) 서초동 1597-1,5.0,3건,리뷰 0
138,크리스피파이,디저트카페,(지번) 서초동 1459-7,5.0,2건,리뷰 17
139,논골집 서초점,"육류,고기",(지번) 서초동 1624-11,3.3,8건,리뷰 8
140,새마을식당 남부터미널점,"육류,고기",(지번) 서초동 1588-6,1.4,12건,리뷰 12
141,류 서초점,일본식주점,(지번) 서초동 1621-9,5.0,1건,리뷰 16
142,커피빈 남부터미널역점,커피전문점,(지번) 서초동 1602-5,3.5,8건,리뷰 1
143,소나기,한식,(지번) 서초동 1443-28,4.0,1건,리뷰 5
144,퀴즈노스서브 남부터미널점,샌드위치,(지번) 서초동 1457-2,1.4,30건,리뷰 11
145,샤브향 서초남부점,동남아음식,(지번) 서초동 1459-8,3.2,6건,리뷰 19
146,카페토다 서초점,카페,(지번) 서초동 1589-1,3.7,3건,리뷰 0
147,우공뭉티기 서초점,"육류,고기",(지번) 서초동 1597-2,1.0,1건,리뷰 36
148,강릉경북회집,회,(지번) 서초3동 1600-1,4.0,2건,리뷰 4
149,해방촌HBC고깃집 남부터미널점,"육류,고기",(지번) 서초동 1621-27,4.6,7건,리뷰 4
150,공차 남부터미널점,카페,(지번) 서초동 1446-1,3.0,3건,리뷰 2
151,함경순대,순대,(지번) 서초동 1585-18,4.1,7건,리뷰 2
152,가마로강정 교대점,닭강정,(지번) 서초동 1626-9,4.0,3건,리뷰 2
153,공차 서초점,카페,(지번) 서초동 1601-1,2.9,8건,리뷰 0
154,밥심이,한식,(지번) 서초동 1459-9,4.2,10건,리뷰 8
155,한신VIP일번지포차,실내포장마차,(지번) 서초동 1439-1,5.0,1건,리뷰 1
156,중국성,중화요리,(지번) 서초동 1606-4,3.0,2건,리뷰 2
157,바바치킨 서초직영점,치킨,(지번) 서초3동 1458-1,0.0,0건,리뷰 2
158,진배족발 서초점,"족발,보쌈",(지번) 서초동 1601-1,0.0,0건,리뷰 2
159,명가교동짬뽕 서초점,중화요리,(지번) 서초동 1599-2,3.0,13건,리뷰 4
160,파스쿠찌 서초점,커피전문점,(지번) 서초동 1623-8,3.0,4건,리뷰 2
161,삼계탕마을 서초점,삼계탕,(지번) 서초1동 1443-3,3.2,6건,리뷰 9
162,셰프의돈까스 남부터미널점,"돈까스,우동",(지번) 서초동 1599-2,4.0,4건,리뷰 10
163,칠번가피자 서초교대점,피자,(지번) 서초동 1442-19,5.0,1건,리뷰 23
164,강남짬뽕,중화요리,(지번) 서초동 1602-10,2.0,9건,리뷰 24
165,리어카포차 서초교대1호점,실내포장마차,(지번) 서초동 1578-5,0.0,0건,리뷰 7
166,큰이모 부대찌개,"찌개,전골",(지번) 서초동 1589-14,5.0,2건,리뷰 7
167,강창구찹쌀진순대 남부터미널점,순대,(지번) 서초동 1443-12,2.6,8건,리뷰 5
168,취홍,중식,(지번) 서초동 1624-2,0.0,0건,리뷰 3
169,페임커피,커피전문점,(지번) 서초동 1627-5,4.7,7건,리뷰 5
170,조가홍닭 남부터미널점,치킨,(지번) 서초동 1601-2,4.4,9건,리뷰 5
171,12바스켓,샌드위치,(지번) 서초동 1445-3,5.0,4건,리뷰 40
172,광시 신흥농장직영점,"육류,고기",(지번) 서초동 1444-2,4.0,3건,리뷰 5
173,브루웍스 남부터미널역점,"호프,요리주점",(지번) 서초동 1588-6,4.0,2건,리뷰 8
174,원할머니보쌈족발 서초점,"족발,보쌈",(지번) 서초동 1589-14,3.0,2건,리뷰 4
175,카페포레스트,카페,(지번) 서초동 1444-1,4.5,2건,리뷰 3
176,군선생 남부터미널점,"해물,생선",(지번) 서초동 1601-1,5.0,1건,리뷰 4
177,양계장집아들,치킨,(지번) 서초동 1603-66,4.0,1건,리뷰 6
178,마담버터플라이,카페,(지번) 서초동 1621-3,3.0,6건,리뷰 10
179,해물솥밥모랑 남부터미널점,"해물,생선",(지번) 서초동 1599-2,3.3,10건,리뷰 8
180,진미정생선구이,"해물,생선",(지번) 서초동 1579-9,3.0,12건,리뷰 5
181,피자스쿨 남부터미널역점,피자,(지번) 서초동 1603-1,4.8,9건,리뷰 2
182,병천순대왕족발,순대,(지번) 서초동 1588-13,3.0,4건,리뷰 4
183,커피829 남부터미널점,커피전문점,,5.0,1건,리뷰 11
184,파파존스 서초점,피자,(지번) 서초동 1443-6,5.0,1건,리뷰 1
185,에슬로우 서초1호점,카페,(지번) 서초동 1588-2,2.6,5건,리뷰 2
186,담소소사골순대육개장 남부터미널점,순대,(지번) 서초동 1601-1,2.9,8건,리뷰 5
187,엔제리너스 남부터미널점,커피전문점,(지번) 서초동 1603-54,5.0,1건,리뷰 1
188,포프롬나드 본점,동남아음식,(지번) 서초동 1427-19,2.8,18건,리뷰 20
189,청해복장어전문점,"해물,생선",(지번) 서초동 1599-11,5.0,2건,리뷰 0
190,통영味鮮,회,(지번) 서초동 1443-24,3.6,6건,리뷰 0
191,최수사,일식집,(지번) 서초동 1443-32,3.0,5건,리뷰 2
192,만리향,중화요리,(지번) 서초동 1444-20,1.0,1건,리뷰 14
193,명동칼국수샤브샤브 서초점,샤브샤브,(지번) 서초동 1601-1,3.8,5건,리뷰 7
194,용궁해물탕,"매운탕,해물탕",(지번) 서초동 1616-6,0.0,0건,리뷰 0
195,산애들,"찌개,전골",(지번) 서초3동 1588-11,4.5,4건,리뷰 4
196,칠갑청국장육회 남부터미널지점,한식,(지번) 서초동 1603-66,3.6,16건,리뷰 9
197,꼬꾸이,치킨,(지번) 서초동 1603-68,3.0,2건,리뷰 4
198,황다방,다방,(지번) 서초동 1603-69,0.0,0건,리뷰 2
199,노랑통닭 남부터미널점,치킨,(지번) 서초동 1603-67,3.0,6건,리뷰 2
200,밀마을칼국수,국수,(지번) 서초동 1451-23,4.5,6건,리뷰 6
201,그릴진 남부터미널역점,"육류,고기",(지번) 서초동 1601-2,0.0,0건,리뷰 3
202,타미하우스 남부터미널점,샌드위치,(지번) 서초동 1425-9,0.0,0건,리뷰 1
203,플라티,카페,(지번) 서초동 1438-9,2.0,1건,리뷰 2
204,미소야 서초점,"돈까스,우동",(지번) 서초동 1458-6,2.3,10건,리뷰 4
205,서울양꼬치,양꼬치,(지번) 서초동 1589-5,3.3,10건,리뷰 8
206,김밥천국 예술의전당점,분식,(지번) 서초동 1458-6,0.0,0건,리뷰 1
207,이베리코,한정식,(지번) 서초동 1432-23,5.0,4건,리뷰 1
208,펀비어킹 남부터미널점,"호프,요리주점",(지번) 서초동 1588-1,0.0,0건,리뷰 1
209,브라운하우스,양식,(지번) 서초동 1442-14,2.0,1건,리뷰 2
210,진심에취하다,일본식주점,(지번) 서초동 1451-63,5.0,1건,리뷰 2
211,통영미선,"해물,생선",(지번) 서초동 1443-24,0.0,0건,리뷰 2
212,미양마늘보쌈집 남부터미널점,"족발,보쌈",(지번) 서초동 1445-4,3.4,9건,리뷰 5
213,송사부수제쌀고로케 남부터미널점,"제과,베이커리",(지번) 서초동 1446-1,3.0,5건,리뷰 70
214,요거프레소 서울교대점,디저트카페,(지번) 서초동 1598-2,3.5,2건,리뷰 2
215,해월양꼬치샤브샤브 서초점,양꼬치,(지번) 서초동 1443-1,3.3,3건,리뷰 8
216,소윤화,중화요리,(지번) 서초동 1451-31,4.5,2건,리뷰 3
217,한솥도시락 국제전자센터옆점,도시락,(지번) 서초동 1443-1,2.0,4건,리뷰 6
218,EU,카페,(지번) 서초동 1459-9,5.0,5건,리뷰 7
219,카페준,카페,(지번) 서초동 1600-9,0.0,0건,리뷰 22
220,오징어나라 서초점,"해물,생선",(지번) 서초동 1589-12,3.3,5건,리뷰 1
221,라이브잼,라이브카페,(지번) 서초동 1595-6,0.0,0건,리뷰 2
222,김밥,분식,(지번) 서초동 1580-6,0.0,0건,리뷰 1
223,참살이청국장,"찌개,전골",(지번) 서초동 1599-11,5.0,2건,리뷰 2
224,더대박치킨 서초점,치킨,(지번) 서초동 1600-7,4.6,8건,리뷰 3
225,오페라빈로스터스 예술의전당점,카페,(지번) 서초동 1449-8,5.0,1건,리뷰 0
226,홍등,중식,(지번) 서초동 1564-2,4.7,3건,리뷰 3
227,송황칼국수,한식,(지번) 서초동 1442-21,4.0,3건,리뷰 3
228,왕떡볶이,떡볶이,(지번) 서초동 1440-1,4.0,4건,리뷰 1
229,파리바게뜨 서초중앙점,"제과,베이커리",(지번) 서초동 1604-18,3.5,6건,리뷰 2
230,한가람,한식뷔페,(지번) 서초동 1598-1,0.0,0건,리뷰 0
231,가마솥감자탕,감자탕,(지번) 서초동 1442-19,4.0,1건,리뷰 0
232,벨라빈스커피 남부터미널점,커피전문점,(지번) 서초동 1601-1,2.3,4건,리뷰 1
233,장어만구이,장어,(지번) 서초동 1579-7,5.0,2건,리뷰 0
234,무봤나촌닭 서초점,치킨,(지번) 서초동 1621-26,0.0,0건,리뷰 0
235,국수명가,국수,(지번) 서초동 1588-13,3.5,2건,리뷰 6
236,충무김밥 서초점,분식,(지번) 서초동 1600-9,4.0,1건,리뷰 0
237,우리김밥,분식,(지번) 서초동 1446-1,4.0,1건,리뷰 1
238,커먼띵스,카페,(지번) 서초동 1432-24,3.0,2건,리뷰 4
239,래빈,닭요리,(지번) 서초동 1603-12,1.8,4건,리뷰 6
240,남도맛집,한정식,(지번) 서초동 1603-69,4.0,5건,리뷰 1
241,포마토,분식,(지번) 서초동 1596-6,2.0,3건,리뷰 1
242,온이유,디저트카페,(지번) 서초동 1600-9,0.0,0건,리뷰 1
243,종로닭한마리부대찌개,닭요리,(지번) 서초동 1580-6,0.0,0건,리뷰 1
244,김밥천국 남부터미널점,분식,(지번) 서초동 1601-1,1.8,5건,리뷰 0
245,쟈니스커피,카페,(지번) 서초동 1619-6,0.0,0건,리뷰 1
