,name,address,score,score_cnt,review_cnt,awareness,lat,lng
99,카페에이크,성수동2가 317-5,3.3,3,111,14.1,37.5434323,127.0569979
100,앵무새루이스,성수동2가 346-2,0.0,0,20,2.0,37.537801,127.0520833
101,어라운드독,성수동1가 685-483,2.7,3,29,5.9,37.5467956,127.0413024
102,브루잉세레모니,성수동2가 315-27,4.8,10,30,13.0,37.5432389,127.0551219
103,레스빠스 성수점,성수동1가 16-3,1.0,1,36,4.6,37.545865,127.0491261
104,리브릭,성수동2가 269-146,5.0,2,15,3.5,37.5391481,127.0616765
105,비썸,성수동1가 72-71,4.0,1,8,1.8,37.5413541,127.0491981
106,케이이스케이프,화양동 21-23,3.4,5,63,11.3,37.5477764,127.0687137
107,비엔나커피하우스 서울숲역점,성수동1가 656-447,4.0,1,17,2.7,37.5434183,127.0450562
108,휘스커,성수동2가 299-136,4.8,5,21,7.1,37.5493759,127.0528727
109,알비,성수동1가 685-493,3.0,1,2,1.2,37.5474414,127.0399384
110,언커먼그라운드,성수동2가 317-4,4.8,5,9,5.9,37.5434138,127.0572776
111,림벅와플 건대CGV점,자양동 9-4,4.2,6,62,12.2,37.5397483,127.0669205
112,산도카페,성수동1가 668-138,5.0,2,31,5.1,37.5460899,127.0435012
113,반지만들기카페 건대점,자양동 7-13,4.0,8,73,15.3,37.54003970000001,127.0684433
114,하트앤애로우,성수동1가 668-49,3.2,10,56,15.6,37.5463732,127.0436526
115,커피오스서울숲,성수동1가 656-59,0.0,0,39,3.9,37.54195929999999,127.0484922
116,영스데이,성수동2가 336-48,5.0,1,2,1.2,37.5388352,127.0541952
117,미어캣족장,자양동 9-31,3.2,9,57,14.7,37.5401091,127.0674252
118,iooo,성수동2가 275-54,0.0,0,1,0.1,37.5416286,127.0631357
119,엑스크라임 건대점,화양동 9-47,0.0,0,30,3.0,37.5424352,127.0689703
120,아이오쓰리,성수동2가 275-54,0.0,0,5,0.5,37.5416286,127.0631357
121,꽃다방,자양동 547-64,5.0,1,46,5.6,37.5374236,127.0681738
122,송정커피,송정동 73-971,3.0,1,7,1.7,37.5522517,127.0670974
123,오브코하우스,성수동1가 668-8,5.0,3,19,4.9,37.5474863,127.0435874
124,무드랩,성수동1가 685-254,2.7,6,16,7.6,37.5435182,127.0437247
125,공차 건대로데오점,자양동 5-71,1.7,7,3,7.3,37.5398175,127.0686124
126,만랩커피 성수점,성수동2가 277-37,5.0,2,2,2.2,37.5437384,127.0626249
127,에젤커피,성수동2가 289-8,2.5,8,41,12.1,37.5461968,127.0573569
128,코드네임블랙 건대점,자양동 8-1,3.7,6,41,10.1,37.5405784,127.0676377
129,더리터 성수동카페거리점,성수동2가 325-15,0.0,0,0,0.0,37.5403652,127.0556628
130,5TO7,성수동1가 668,3.9,7,32,10.2,37.5470758,127.043191
131,이디야커피 서울숲역점,성수동1가 656-1123,3.0,7,7,7.7,37.5462569,127.044874
132,해피니스디저트 건대점,자양동 848-2,3.9,9,15,10.5,37.5383415,127.066766
133,바나프레소 건대역점,화양동 7-4,2.0,1,2,1.2,37.5410367,127.0682748
134,블랙빈스,응봉동 228-20,3.6,5,5,5.5,37.5516321,127.035515
135,카페도르,성수동2가 275-75,0.0,0,2,0.2,37.5412205,127.0612228
136,플디,성수동1가 13-156,4.0,9,31,12.1,37.5478873,127.0484983
137,띵킹커피,화양동 9-44,3.0,24,15,25.5,37.5421557,127.0688391
138,카페36.5도 성수본점,성수동2가 310-64,4.5,2,21,4.1,37.5428085,127.053474
139,아마스빈 건대입구역점,자양동 7-30,2.7,10,12,11.2,37.54032309999999,127.0678208
140,이월로스터스 성수점,성수동1가 668-123,3.3,3,19,4.9,37.5461603,127.0437345
141,포이렛,성수동1가 13-439,3.5,2,16,3.6,37.5501089,127.0478963
142,가뜨머차,성수동2가 300-4,5.0,1,2,1.2,37.5450077,127.0558034
143,예빈당,성수동2가 315-7,1.8,5,29,7.9,37.5426988,127.0562037
144,매머드커피 성수2호점,성수동2가 339-160,3.0,1,1,1.1,37.53935329999999,127.0544116
145,마스터키 건대점,자양동 24-2,2.3,4,63,10.3,37.5410824,127.0636913
146,이디야커피 건대로데오점,자양동 8-22,2.2,5,6,5.6,37.540361,127.0675997
147,허니룸,화양동 48-25,0.0,0,16,1.6,37.5412803,127.0680816
148,마운틴커피,성수동1가 656-1158,4.0,2,17,3.7,37.550351,127.0451816
149,모두막 건대점,자양동 10-35,3.2,5,27,7.7,37.540574,127.0662799
150,성수빈티지,성수동1가 668-136,0.0,0,15,1.5,37.54604260000001,127.0433377
151,빽다방 건대역화양점,화양동 47-6,2.0,2,8,2.8,37.5422215,127.0686063
152,스타벅스 성수이마트점,성수동2가 333-16,4.0,9,4,9.4,37.5399389,127.0531674
153,콘레드커피 건대1호점,자양동 7-9,3.0,2,8,2.8,37.5399675,127.0686558
154,이디야커피 뚝섬역점,성수동1가 14-1,4.0,3,3,3.3,37.5473256,127.048794
155,샤츠인젤,자양동 4-23,5.0,3,3,3.3,37.538213,127.0680677
156,유어네임히얼,성수동1가 685-509,1.0,1,12,2.2,37.5470361,127.0400681
157,빽다방 건대로데오점,자양동 8-1,4.5,2,9,2.9,37.5405784,127.0676377
158,카페구구,화양동 18-12,0.0,0,44,4.4,37.5476548,127.0689517
159,루디먼트,성수동2가 289-75,4.3,3,24,5.4,37.5466588,127.0545038
160,베러 로스팅랩&쇼룸,성수동1가 656-671,5.0,1,7,1.7,37.5456356,127.0465975
161,공차 서울숲점,성수동1가 661-2,3.7,3,1,3.1,37.546083,127.0449815
162,블리스저니,성수동1가 668-51,3.2,9,26,11.6,37.5469921,127.0435259
