,name,address,score,score_cnt,review_cnt,awareness,lat,lng
328,엘카페,성수동1가 656,1.0,1,0,1.0,37.545536,127.0466463
329,초원다방,성수동2가 350,0.0,0,0,0.0,37.5377957,127.051418
330,커피셔틀디저트 성수점,성수동2가 289-96,0.0,0,2,0.2,37.5462879,127.0544406
331,베이크드아를르,성수동1가 656-613,0.0,0,1,0.1,37.5418722,127.0474081
332,커피나무,성수동1가 16-3,4.0,2,0,2.0,37.545865,127.0491261
333,그랑블루,성수동2가 301-28,4.0,1,1,1.1,37.544649,127.0499631
334,아띠그린,성수동2가 339-4,0.0,0,1,0.1,37.5379006,127.0529216
335,커피에반하다,화양동 48,0.0,0,0,0.0,37.5416308,127.0670532
336,쉘위,성수동1가 668-68,0.0,0,3,0.3,37.5469091,127.0429577
337,8과2분의1,성수동2가 316-73,3.0,2,0,2.0,37.5429903,127.0542355
338,원투커피 성수직영점,성수동2가 279-53,3.3,3,1,3.1,37.54498,127.0627418
339,소적두 성수점,성수동1가 13-316,0.0,0,0,0.0,37.5485649,127.049051
340,경동커피숖,성수동2가 339-103,0.0,0,0,0.0,37.5390085,127.0547962
341,존맛,성수동1가 13-189,0.0,0,16,1.6,37.548431,127.0507763
342,루프탑카페 연무장,성수동2가 310-63,0.0,0,4,0.4,37.5428557,127.0533003
343,목로다방,성수동2가 269-113,0.0,0,4,0.4,37.53974030000001,127.056723
344,아이파베스 건대2호점,화양동 49-11,0.0,0,2,0.2,37.5417135,127.0660088
345,더스탠다드,성수동1가 276-27,3.3,3,0,3.0,37.5398234,127.0504554
346,히즈빈스커피 성수점,성수동1가 656-1212,0.0,0,2,0.2,37.5429661,127.046971
347,돌체돌체,성수동2가 320-1,0.0,0,8,0.8,37.5419942,127.0557633
348,피트어패트,성수동1가 656-1042,0.0,0,0,0.0,37.5472086,127.0452319
349,몽,성수동2가 315-95,0.0,0,2,0.2,37.5433863,127.0554176
350,카페포레스트,성수동2가 280-25,5.0,1,0,1.0,37.54709769999999,127.0627719
351,린다비스타,성수동2가 256-3,0.0,0,7,0.7,37.5392063,127.0619654
352,그림책카페,성수동1가 72-71,0.0,0,0,0.0,37.5413541,127.0491981
353,진궁다방,성수동2가 316-27,0.0,0,0,0.0,37.5429274,127.0540372
354,샌드커피 논탄토,성수동1가 16-25,0.0,0,0,0.0,37.5434142,127.0510334
355,원앤식스,성수2가1동 235-1,4.0,2,0,2.0,37.5368859,127.0605767
356,휘카페 성수점,성수동2가 320-1,5.0,1,0,1.0,37.5419942,127.0557633
357,얌커피로스터스,자양동 24-19,0.0,0,1,0.1,37.5401601,127.0631631
358,시옷구독커피,성수동2가 278-8,5.0,1,0,1.0,37.5465309,127.0592516
359,웨일즈커피 메가박스 성수점,성수동1가 656,1.0,1,7,1.7,37.545536,127.0466463
360,선아커피,송정동 67-16,0.0,0,0,0.0,37.5482783,127.0622331
361,마담커피,자양동 6-41,5.0,1,3,1.3,37.5398887,127.067583
362,그레이박스,성수동2가 277-101,0.0,0,2,0.2,37.5445026,127.0613966
363,우주만화,자양동 17-5,0.0,0,5,0.5,37.5414539,127.0648612
364,브링커피 성수점,성수동2가 19-14,3.5,2,0,2.0,37.5419698,127.063446
365,서울에스프레소,성수동1가 656-465,0.0,0,0,0.0,37.5432615,127.0448307
366,유니스토리,성수동2가 231-1,0.0,0,6,0.6,37.5379935,127.0603885
367,룹,성수동1가 22-28,0.0,0,1,0.1,37.5435938,127.0491606
368,알렛츠,성수동1가 13-3,3.0,1,11,2.1,37.5512959,127.0478224
369,ONE BEAN 1호점,성수동2가 310-21,4.0,2,1,2.1,37.5422652,127.0538147
370,얌커피로스터스,성수동2가 279-50,0.0,0,0,0.0,37.5453847,127.0653621
371,티라레미수 건대역점,화양동 7-3,5.0,3,0,3.0,37.5407487,127.0690014
372,CM카페,성수동1가 13-17,0.0,0,0,0.0,37.5503454,127.0515238
373,에잇어클락,성수동2가 299-241,0.0,0,2,0.2,37.5491094,127.0557188
374,카페월지,성수동1가 36-7,0.0,0,1,0.1,37.5386267,127.0494364
375,PSB,성수동1가 685-217,0.0,0,5,0.5,37.5481485,127.0434602
376,타미하우스,성수동1가 656-439,0.0,0,3,0.3,37.5467555,127.0452422
377,마이빈,성수동2가 277-37,5.0,4,0,4.0,37.5437384,127.0626249
378,가을라이브카페,성수동2가 317-3,0.0,0,0,0.0,37.5438853,127.0572038
379,도토르,성수동2가 280-21,4.0,2,2,2.2,37.5467924,127.0632442
380,카페656 성수본점,성수동1가 656-1141,0.0,0,0,0.0,37.5502951,127.0448428
381,성수동커피,성수동2가 320-1,4.5,2,0,2.0,37.5419942,127.0557633
382,옹근달,성수동2가 333-52,1.0,2,9,2.9,37.5426793,127.0529857
383,카페서울숲,성수동1가 685-704,5.0,1,1,1.1,37.5435626,127.0436285
384,키키앤리,자양동 238-3,0.0,0,3,0.3,37.5366157,127.0625206
385,엘씨포유,성수동2가 316-5,0.0,0,1,0.1,37.5435787,127.0526642
386,앙골로에스프레소,성수동2가 328-7,0.0,0,1,0.1,37.5398983,127.0563193
387,더카페 서울숲SKV1점,성수동2가 284-55,0.0,0,0,0.0,37.5468653,127.0514978
388,샌프란시스코커피,성수동1가 656-1053,0.0,0,1,0.1,37.5452462,127.0457956
389,카페핑퐁,성수동2가 322-19,0.0,0,7,0.7,37.5410761,127.056223
390,투달러스커피,성수동2가 279-46,3.3,4,0,4.0,37.544489,127.0646751
391,어반하우스,성수동1가 8-29,0.0,0,1,0.1,37.54680949999999,127.0469119
392,컴포즈커피 성수점,성수동1가 9-11,0.0,0,0,0.0,37.5462481,127.047581
393,썬즈,성수동2가 281-30,0.0,0,1,0.1,37.5479245,127.0668242
394,카페조에,성수동2가 277-50,0.0,0,0,0.0,37.5447394,127.0593341
395,에그마카슈 성수,성수동1가 13-309,0.0,0,3,0.3,37.5481824,127.049555
396,pitapat,성수동1가 685-489,5.0,1,1,1.1,37.5474608,127.039559
397,커매닉 성수역점,성수2가3동 314-6,5.0,1,0,1.0,37.5447192,127.0546652
398,밥먹고뭐할래,성수동2가 339-137,5.0,2,4,2.4,37.5394717,127.054908
399,카페H,자양4동 8-30,3.5,2,1,2.1,37.5409181,127.0668312
400,커피101스트리트 성수점,성수동1가 685-400,0.0,0,1,0.1,37.5478396,127.0423777
401,유니온커피마켓,성수동1가 685-317,0.0,0,0,0.0,37.5435182,127.0437247
402,매니페스트,성수동2가 277-43,0.0,0,1,0.1,37.54388369999999,127.0613025
403,호림,화양동 20-19,0.0,0,0,0.0,37.5469612,127.0677223
404,커피한잔,성수동1가 656-1222,0.0,0,0,0.0,37.5434461,127.0464885
405,나따오비까 아이파베스커피 건대2호점,화양동 49-11,0.0,0,0,0.0,37.5417135,127.0660088
406,카페리빈성수점,성수동2가 277-61,0.0,0,0,0.0,37.5434192,127.0610164
407,카페일로,성수동1가 13-440,4.0,1,3,1.3,37.549902,127.0479272
408,기어쓰리,성수동2가 271-20,0.0,0,0,0.0,37.5411916,127.0588332
409,카페베네행사,성수동1가 656-1572,0.0,0,0,0.0,37.5458475,127.0479539
410,문스페이스스타,성수동1가 685-457,0.0,0,1,0.1,37.546851,127.0403522
411,컵인더스튜디오,화양동 46-42,5.0,2,0,2.0,37.5429018,127.0673519
412,카페아트,성수동1가 656-323,5.0,1,0,1.0,37.54539159999999,127.0469605
413,르헤브드베베,성수동2가 333-52,4.0,1,0,1.0,37.5426793,127.0529857
414,아자부 본사,성수동2가 338-12,0.0,0,0,0.0,37.5385285,127.053587
415,복식커피,성수동1가 656-244,5.0,4,4,4.4,37.5435182,127.0437247
416,프레소티 건대점,자양동 8-22,0.0,0,5,0.5,37.540361,127.0675997
417,왕다방,성수동2가 280-46,3.0,1,0,1.0,37.5477384,127.0623168
418,커피온리 뚝섬역점,성수동1가 14-39,0.0,0,0,0.0,37.5461095,127.0490505
419,정팥죽,성수동2가 565-16,0.0,0,1,0.1,37.5379048,127.0551337
420,연무장,성수동2가 310-63,0.0,0,1,0.1,37.5428557,127.0533003
421,어니스트커피,성수동2가 499,4.5,2,0,2.0,37.5376818,127.0521652
422,제다움심리상담카페,성수동1가 656-127,0.0,0,0,0.0,37.5423531,127.0478207
423,차타임,자양동 8-8,0.0,0,0,0.0,37.5407471,127.0667394
424,카페컴온 성수점,성수동2가 289-10,0.0,0,0,0.0,37.5452446,127.0570452
425,보두코리아,성수동1가 25-2,0.0,0,0,0.0,37.5421964,127.0490606
426,카페스팟 뚝섬점,성수동2가 284-55,0.0,0,0,0.0,37.5468653,127.0514978
427,묘사,성수동1가 685,0.0,0,0,0.0,37.5450111,127.0384781
428,차얌 성수역점,성수동2가 289-15,0.0,0,0,0.0,37.5457509,127.0545504
429,치유,성수동1가 16-2,0.0,0,0,0.0,37.5457708,127.049512
430,옹기종기북카페,성수동2가 333-134,0.0,0,0,0.0,37.53950409999999,127.0540114
431,카페페를,성수동2가 299-220,0.0,0,1,0.1,37.5481736,127.0548581
432,원빈커피숍 2호점,성수동2가 280-45,0.0,0,0,0.0,37.5478653,127.0625269
433,지호커피숍,자양동 845-11,0.0,0,0,0.0,37.5373511,127.0659546
434,커피림,송정동 66,5.0,2,0,2.0,37.5490024,127.0644546
435,7080라이브딴따라,성수동2가 300-87,0.0,0,0,0.0,37.5454221,127.05388
436,옐로우페탈커피,화양동 23-41,0.0,0,4,0.4,37.5467604,127.0672801
437,티몬스,성수동1가 706,0.0,0,3,0.3,37.5495276,127.0471998
438,카페beanlosophyroasters,성수동2가 299-144,0.0,0,0,0.0,37.5492348,127.0530374
439,미스파파,성수동2가 336-27,0.0,0,0,0.0,37.5385714,127.0539949
440,쉬어가는페이지,성수동2가 277-61,3.0,1,0,1.0,37.5434192,127.0610164
441,더사이랩스,성수동1가 668-25,0.0,0,0,0.0,37.547209,127.0433896
442,조양커피호프,자양동 11-1,0.0,0,0,0.0,37.5386521,127.0666286
443,씨드니,성수동2가 331-200,5.0,1,0,1.0,37.5385402,127.0553803
444,카페50,자양동 10-44,0.0,0,0,0.0,37.5402469,127.0662806
445,카페웨이브&델리 성수점,성수2가1동 320-1,3.0,1,0,1.0,37.5419942,127.0557633
446,마젠타,성수동2가 310-55,5.0,1,0,1.0,37.5430903,127.0527756
447,인코시벳 14호점,성수동2가 278-27,0.0,0,0,0.0,37.546153,127.0615864
448,조명빨,성수동1가 16-26,0.0,0,0,0.0,37.5436176,127.0508916
449,카페성덕정길,성수동2가 345-9,0.0,0,0,0.0,37.5380545,127.0517825
450,하우스커피+sth,성수동1가 13-450,0.0,0,0,0.0,37.5504674,127.0484293
451,CAFE BLANK,성수동2가 271-22,0.0,0,0,0.0,37.5416512,127.0586158
452,뉴트로커피,성수동2가 299,0.0,0,0,0.0,37.5486635,127.0553974
453,카페오아시아 동부여성발전센터점,자양동 9-13,0.0,0,2,0.2,37.5393556,127.0667081
454,빈하모니커피 성수점,성수동2가 280-13,0.0,0,0,0.0,37.5472087,127.0644974
455,진지함,성수동1가 668-97,0.0,0,2,0.2,37.5467631,127.0420735
456,희연 에스프레소,성수동2가 281-14,0.0,0,0,0.0,37.5479812,127.0662384
457,토프레소 성수우림점,성수동2가 280-21,0.0,0,0,0.0,37.5467924,127.0632442
458,8 1/2,성수동2가 316-73,0.0,0,1,0.1,37.5429903,127.0542355
459,카페오리진3호점,성수동2가 269-25,0.0,0,0,0.0,37.5401282,127.0566729
460,성수다방,성수동2가 323,0.0,0,0,0.0,37.5404561,127.0562048
461,7080라이브카페,성수동2가 532-8,0.0,0,0,0.0,37.537391,127.0544319
462,푸어,성수동2가 565-16,0.0,0,1,0.1,37.5379048,127.0551337
463,카페트레블,성수동2가 299-241,0.0,0,0,0.0,37.5491094,127.0557188
464,아람커피숍,성수동1가 16-22,0.0,0,0,0.0,37.5438642,127.0501801
465,맛을그리다,성수동2가 315-9,0.0,0,1,0.1,37.5426157,127.0561798
466,땅뜨,성수동1가 685-491,0.0,0,0,0.0,37.54738589999999,127.0397603
467,목화다방,성수동2가 275-6,0.0,0,0,0.0,37.5403071,127.0626079
468,쥬스식스 뚝섬역점,성수동1가 13-164,3.0,2,0,2.0,37.5473896,127.0499057
469,앨리,송정동 66-49,5.0,1,0,1.0,37.548596,127.0655948
470,그린트리,성수동2가 308-4,5.0,1,0,1.0,37.542509,127.0518608
471,레스오디너리,성수동1가 656-544,0.0,0,1,0.1,37.5485011,127.0466187
472,포스트디커피한잔,성수동1가 656-1222,5.0,1,0,1.0,37.5434461,127.0464885
473,씨제이푸드빌,성수동2가 277-175,0.0,0,0,0.0,37.5460369,127.0583185
474,셀렉토커피 성수하이엔드씨티점,성수동2가 269-25,0.0,0,0,0.0,37.5401282,127.0566729
475,작업실B,성수동1가 13-129,0.0,0,0,0.0,37.5487264,127.0489765
476,카페체인지,자양동 250-21,5.0,1,0,1.0,37.5392307,127.0626599
477,아크밸리서비스,성수동2가 277-43,0.0,0,0,0.0,37.54388369999999,127.0613025
478,오리진,송정동 67-16,0.0,0,0,0.0,37.5482783,127.0622331
479,퍼펙트커피,성수동2가 299-95,0.0,0,0,0.0,37.5501625,127.053432
480,올리빈카페,성수동2가 289-205,0.0,0,0,0.0,37.5486111,127.0558292
481,팩토리카페,성수동2가 271-7,0.0,0,1,0.1,37.5410782,127.0591843
482,카페빌,성수동2가 320-1,0.0,0,0,0.0,37.5419942,127.0557633
483,라움홀딩스 코퍼레이션,성수동2가 279-46,0.0,0,0,0.0,37.544489,127.0646751
485,이벤트123 건대점,화양동 7-3,0.0,0,1,0.1,37.5407487,127.0690014
486,미래사주카페 건대점,화양동 9-37,0.0,0,0,0.0,37.54197000000001,127.0687079
487,커피라이크,성수동2가 277,0.0,0,0,0.0,37.5441653,127.0614642
488,제이엠,성수동1가 13-189,0.0,0,0,0.0,37.548431,127.0507763
489,트라미아,성수동2가 315-32,0.0,0,0,0.0,37.5432652,127.0545795
490,cafeJoe,성수동2가 277-50,0.0,0,0,0.0,37.5447394,127.0593341
491,코코버블티 건대입구점,자양동 8-22,0.0,0,1,0.1,37.540361,127.0675997
492,양복점커피,성수동1가 668-96,5.0,2,0,2.0,37.5468953,127.042151
493,주렝,성수동2가 325-15,0.0,0,0,0.0,37.5403652,127.0556628
494,오블리크카페,성수동1가 656-766,0.0,0,0,0.0,37.5464578,127.0484361
495,스태그,성수동2가 275-40,0.0,0,0,0.0,37.541228,127.0631916
496,쥬스픽,성수동1가 656-936,0.0,0,0,0.0,37.5470911,127.044293
497,에밀리아카페 성수점,성수동2가 278-27,0.0,0,0,0.0,37.546153,127.0615864
498,크로스빈,성수동1가 13-117,0.0,0,0,0.0,37.5494244,127.0498232
499,큐토스침니,화양동 33-30,5.0,3,0,3.0,37.54497569999999,127.0688006
500,스태그,성수동2가 275-40,0.0,0,0,0.0,37.541228,127.0631916
501,쥬스픽,성수동1가 656-936,0.0,0,0,0.0,37.5470911,127.044293
502,에밀리아카페 성수점,성수동2가 278-27,0.0,0,0,0.0,37.546153,127.0615864
503,크로스빈,성수동1가 13-117,0.0,0,0,0.0,37.5494244,127.0498232
504,큐토스침니,화양동 33-30,5.0,3,0,3.0,37.54497569999999,127.0688006
