,name,age,height,position,league,team,market value
102,Rodrigo Bentancur,22,187,Midfielder,Serie A,Juventus FC,650
103,Giovani Lo Celso,23,177,Midfielder,Premier League,Tottenham Hotspur,650
104,Dayot Upamecano,21,186,Defender,Bundesliga,RB Leipzig,650
105,Tammy Abraham,22,191,Forward,Premier League,Chelsea FC,650
106,Martin Ödegaard,21,178,Midfielder,LaLiga,Real Sociedad,650
107,Ben Chilwell,23,178,Defender,Premier League,Leicester City,650
108,Iñaki Williams,25,186,Forward,LaLiga,Athletic Bilbao,650
109,Kingsley Coman,23,179,Forward,Bundesliga,Bayern Munich,650
110,Thomas,26,185,Midfielder,LaLiga,Atlético Madrid,650
111,Moussa Dembélé,23,183,Forward,Ligue 1,Olympique Lyon,650
112,Rúben Neves,23,180,Midfielder,Premier League,Wolverhampton Wanderers,650
113,José Gayà,24,172,Defender,LaLiga,Valencia CF,650
114,Hakim Ziyech,27,181,Forward,Other league,Ajax Amsterdam,650
115,Raúl Jiménez,28,188,Forward,Premier League,Wolverhampton Wanderers,650
116,Julian Brandt,23,185,Midfielder,Bundesliga,Borussia Dortmund,650
117,Leon Goretzka,25,189,Midfielder,Bundesliga,Bayern Munich,650
118,Wissam Ben Yedder,29,170,Forward,Ligue 1,AS Monaco,650
119,Daniel Carvajal,28,173,Defender,LaLiga,Real Madrid,650
120,Rodrigo,29,182,Forward,LaLiga,Valencia CF,650
121,Ciro Immobile,30,185,Forward,Serie A,SS Lazio,650
122,Kyle Walker,29,183,Defender,Premier League,Manchester City,650
123,Antonio Rüdiger,27,190,Defender,Premier League,Chelsea FC,650
124,Sergi Roberto,28,178,Defender,LaLiga,FC Barcelona,650
125,Isco,27,176,Midfielder,LaLiga,Real Madrid,650
126,Alex Sandro,29,181,Defender,Serie A,Juventus FC,650
127,Jordi Alba,31,170,Defender,LaLiga,FC Barcelona,650
128,David de Gea,29,189,Goalkeeper,Premier League,Manchester United,650
129,Ilkay Gündogan,29,180,Midfielder,Premier League,Manchester City,650
130,Georginio Wijnaldum,29,175,Midfielder,Premier League,Liverpool FC,650
131,David Neres,23,176,Forward,Other league,Ajax Amsterdam,585
132,Mattéo Guendouzi,20,184,Midfielder,Premier League,Arsenal FC,585
133,Ibrahima Konaté,20,193,Defender,Bundesliga,RB Leipzig,585
134,Mason Mount,21,178,Midfielder,Premier League,Chelsea FC,585
135,Denis Zakaria,23,190,Midfielder,Bundesliga,Borussia Mönchengladbach,585
136,Lucas Torreira,24,166,Midfielder,Premier League,Arsenal FC,585
137,Wilfred Ndidi,23,183,Midfielder,Premier League,Leicester City,585
138,Nicolò Barella,23,172,Midfielder,Serie A,Inter Milan,585
139,André Onana,24,190,Goalkeeper,Other league,Ajax Amsterdam,585
140,Alessio Romagnoli,25,188,Defender,Serie A,AC Milan,585
141,John Stones,25,188,Defender,Premier League,Manchester City,585
142,João Cancelo,25,182,Defender,Premier League,Manchester City,585
143,Sébastien Haller,25,190,Forward,Premier League,West Ham United,585
144,Álvaro Morata,27,187,Forward,LaLiga,Atlético Madrid,585
145,Duván Zapata,29,189,Forward,Serie A,Atalanta BC,585
146,Mateo Kovacic,25,177,Midfielder,Premier League,Chelsea FC,585
147,Eduardo Camavinga,17,182,Midfielder,Ligue 1,Stade Rennais FC,546
148,Naby Keïta,25,172,Midfielder,Premier League,Liverpool FC,546
149,Joe Gomez,22,188,Defender,Premier League,Liverpool FC,546
150,Aaron Wan-Bissaka,22,183,Defender,Premier League,Manchester United,520
151,Ansu Fati,17,178,Forward,LaLiga,FC Barcelona,520
152,Éder Militão,22,186,Defender,LaLiga,Real Madrid,520
153,Maxi Gómez,23,186,Forward,LaLiga,Valencia CF,520
154,Theo Hernández,22,184,Defender,Serie A,AC Milan,520
155,Diego Carlos,27,186,Defender,Ligue 1,Sevilla FC,520
156,Jonathan Ikoné,21,175,Midfielder,Ligue 1,LOSC Lille,520
157,Caglar Söyüncü,23,187,Defender,Premier League,Leicester City,520
158,Dani Ceballos,23,179,Midfielder,Premier League,Arsenal FC,520
159,Marco Asensio,24,182,Forward,LaLiga,Real Madrid,520
160,Ferland Mendy,24,180,Defender,LaLiga,Real Madrid,520
161,Lorenzo Pellegrini,23,186,Midfielder,Serie A,AS Roma,520
162,Ángel Correa,25,171,Forward,LaLiga,Atlético Madrid,520
163,Luka Jovic,22,182,Forward,LaLiga,Real Madrid,520
164,Alex Telles,27,181,Defender,Other league,FC Porto,520
165,Harry Winks,24,178,Midfielder,Premier League,Tottenham Hotspur,520
166,Nélson Semedo,26,177,Defender,LaLiga,FC Barcelona,520
167,Ricardo Pereira,26,175,Defender,Premier League,Leicester City,520
168,Nabil Fekir,26,173,Midfielder,LaLiga,FC Barcelona,520
169,Kepa,25,186,Goalkeeper,Premier League,Chelsea FC,520
170,Arkadiusz Milik,26,186,Forward,Serie A,SSC Napoli,520
171,Héctor Bellerín,25,178,Defender,Premier League,Arsenal FC,520
172,Lucas Ocampos,25,187,Forward,Ligue 1,Sevilla FC,520
173,Florian Thauvin,27,179,Forward,Ligue 1,Olympique Marseille,520
174,Piotr Zielinski,25,180,Midfielder,Serie A,SSC Napoli,520
175,Andrea Belotti,26,181,Forward,Serie A,Torino FC,520
176,Filip Kostic,27,184,Midfielder,Bundesliga,Eintracht Frankfurt,520
177,Felipe Anderson,26,175,Forward,Premier League,West Ham United,520
178,Samuel Umtiti,26,182,Defender,LaLiga,FC Barcelona,520
179,Allan,29,175,Midfielder,Serie A,SSC Napoli,520
180,Marcel Sabitzer,26,177,Forward,Bundesliga,RB Leipzig,520
181,Konstantinos Manolas,28,189,Defender,Serie A,SSC Napoli,520
182,Thorgan Hazard,27,175,Forward,Bundesliga,Borussia Dortmund,520
183,James Rodríguez,28,181,Midfielder,LaLiga,Real Madrid,520
184,Joel Matip,28,195,Defender,Premier League,Liverpool FC,520
185,Lucas Moura,27,172,Forward,Premier League,Tottenham Hotspur,520
186,Ángel Di María,32,180,Forward,Ligue 1,Paris Saint-Germain,520
187,Wojciech Szczesny,29,196,Goalkeeper,Serie A,Juventus FC,520
188,Gareth Bale,30,185,Forward,LaLiga,Real Madrid,520
189,Marco Reus,30,180,Forward,Bundesliga,Borussia Dortmund,520
190,Karim Benzema,32,184,Forward,LaLiga,Real Madrid,520
191,Malcom,23,171,Forward,Other league,Zenit St. Petersburg,494
192,Rúben Dias,22,187,Defender,Other league,SL Benfica,494
193,Joaquín Correa,25,188,Forward,Serie A,SS Lazio,494
194,Jack Grealish,24,175,Midfielder,Premier League,Aston Villa,494
195,Andrej Kramaric,28,177,Forward,Bundesliga,TSG 1899 Hoffenheim,494
196,Leon Bailey,22,178,Forward,Bundesliga,Bayer 04 Leverkusen,481
197,Jonathan Tah,24,195,Defender,Bundesliga,Bayer 04 Leverkusen,481
198,Bruno Guimarães,22,182,Midfielder,Ligue 1,Olympique Lyon,455
199,Renan Lodi,21,179,Defender,LaLiga,Atlético Madrid,455
200,Dejan Kulusevski,19,186,Forward,Serie A,Parma Calcio 1913,455
201,Sandro Tonali,19,181,Midfielder,Serie A,Brescia Calcio,455
202,Ryan Sessegnon,19,178,Midfielder,Premier League,Tottenham Hotspur,455
203,Callum Hudson-Odoi,19,177,Forward,Premier League,Chelsea FC,455
204,Benjamin Pavard,24,186,Defender,Bundesliga,Bayern Munich,455
205,Dan-Axel Zagadou,20,196,Defender,Bundesliga,Borussia Dortmund,455
206,Christopher Nkunku,22,175,Midfielder,Bundesliga,RB Leipzig,455
207,Diogo Jota,23,178,Forward,Premier League,Wolverhampton Wanderers,455
208,Éverton,24,174,Forward,Other league,Grêmio Foot-Ball Porto Alegrense,455
209,Hirving Lozano,24,175,Forward,Serie A,SSC Napoli,455
210,Alessandro Bastoni,20,190,Defender,Serie A,Inter Milan,455
211,Dani Olmo,21,179,Midfielder,Bundesliga,RB Leipzig,455
212,Milot Rashica,23,177,Forward,Bundesliga,SV Werder Bremen,455
213,Steven Bergwijn,22,178,Forward,Premier League,Tottenham Hotspur,455
214,Presnel Kimpembe,24,183,Defender,Ligue 1,Paris Saint-Germain,455
215,Issa Diop,23,194,Defender,Premier League,West Ham United,455
216,Alex Meret,23,190,Goalkeeper,Serie A,SSC Napoli,455
217,Abdou Diallo,23,187,Defender,Ligue 1,Paris Saint-Germain,455
218,Thilo Kehrer,23,186,Defender,Ligue 1,Paris Saint-Germain,455
219,Lukas Klostermann,23,189,Defender,Bundesliga,RB Leipzig,455
220,Federico Bernardeschi,26,183,Forward,Serie A,Juventus FC,455
221,Alejandro Grimaldo,24,171,Defender,Other league,SL Benfica,455
222,Nico Elvedi,23,189,Defender,Bundesliga,Borussia Mönchengladbach,455
223,Victor Lindelöf,25,187,Defender,Premier League,Manchester United,455
224,Nathan Aké,25,180,Defender,Premier League,AFC Bournemouth,455
225,Raphaël Guerreiro,26,170,Midfielder,Bundesliga,Borussia Dortmund,455
226,Kurt Zouma,25,190,Defender,Premier League,Chelsea FC,455
227,Benjamin Mendy,25,185,Defender,Premier League,Manchester City,455
228,Alex Oxlade-Chamberlain,26,175,Midfielder,Premier League,Liverpool FC,455
229,Nicolás Tagliafico,27,172,Defender,Other league,Ajax Amsterdam,455
230,Jordan Pickford,26,185,Goalkeeper,Premier League,Everton FC,455
231,Paco Alcácer,26,175,Forward,LaLiga,Villarreal CF,455
232,Lucas Digne,26,178,Defender,Premier League,Everton FC,455
233,Matthias Ginter,26,191,Defender,Bundesliga,Borussia Mönchengladbach,455
234,Kieran Trippier,29,173,Defender,LaLiga,Atlético Madrid,455
235,Kevin Volland,27,179,Forward,Bundesliga,Bayer 04 Leverkusen,455
