,name,age,height,position,league,team,market value
324,Nahitan Nández,24,172,Midfielder,Serie A,Cagliari Calcio,338
325,Reinier,18,185,Midfielder,LaLiga,Real Madrid,325
326,Gabriel Veron,17,176,Forward,Other league,Sociedade Esportiva Palmeiras,325
327,Jonathan David,20,180,Midfielder,Other league,KAA Gent,325
328,William Saliba,19,193,Defender,Ligue 1,AS Saint-Étienne,325
329,Reece James,20,182,Defender,Premier League,Chelsea FC,325
330,Youcef Atal,23,176,Defender,Ligue 1,OGC Nice,325
331,Jules Koundé,21,184,Defender,Ligue 1,Sevilla FC,325
332,Exequiel Palacios,21,177,Midfielder,Bundesliga,Bayer 04 Leverkusen,325
333,Júnior Firpo,23,184,Defender,LaLiga,FC Barcelona,325
334,Marash Kumbulla,20,185,Defender,Serie A,Hellas Verona,325
335,Evan N'Dicka,20,192,Defender,Bundesliga,Eintracht Frankfurt,325
336,Riccardo Orsolini,23,183,Forward,Serie A,Bologna FC 1909,325
337,André Zambo Anguissa,24,184,Midfielder,LaLiga,Villarreal CF,325
338,Alexander Isak,20,190,Forward,LaLiga,Real Sociedad,325
339,Nordi Mukiele,22,187,Defender,Bundesliga,RB Leipzig,325
340,Joelinton,23,186,Forward,Premier League,Newcastle United,325
341,Justin Kluivert,20,171,Forward,Serie A,AS Roma,325
342,Jeff Reine-Adélaïde,22,184,Midfielder,Ligue 1,Olympique Lyon,325
343,Gaetano Castrovilli,23,187,Midfielder,Serie A,ACF Fiorentina,325
344,Kieran Tierney,22,178,Defender,Premier League,Arsenal FC,325
345,Franck Kessié,23,183,Midfielder,Serie A,AC Milan,325
346,Mauro Arambarri,24,175,Midfielder,LaLiga,Getafe CF,325
347,Yerry Mina,25,195,Defender,Premier League,Everton FC,325
348,Manuel Akanji,24,187,Defender,Bundesliga,Borussia Dortmund,325
349,Sergio Reguilón,23,178,Defender,Ligue 1,Sevilla FC,325
350,Mario Hermoso,24,184,Defender,LaLiga,Atlético Madrid,325
351,Nemanja Maksimovic,25,184,Midfielder,LaLiga,Getafe CF,325
352,Robin Gosens,25,183,Defender,Serie A,Atalanta BC,325
353,Allan Saint-Maximin,23,173,Forward,Premier League,Newcastle United,325
354,Aleksandr Golovin,23,180,Midfielder,Ligue 1,AS Monaco,325
355,Jefferson Lerma,25,179,Midfielder,Premier League,AFC Bournemouth,325
356,Suat Serdar,22,184,Midfielder,Bundesliga,FC Schalke 04,325
357,Gelson Martins,24,173,Forward,Ligue 1,AS Monaco,325
358,Rodrigo de Paul,25,180,Midfielder,Serie A,Udinese Calcio,325
359,Diego Llorente,26,186,Defender,LaLiga,Real Sociedad,325
360,Patrik Schick,24,187,Forward,Bundesliga,RB Leipzig,325
361,Duje Caleta-Car,23,192,Defender,Ligue 1,Olympique Marseille,325
362,Thomas Strakosha,25,193,Goalkeeper,Serie A,SS Lazio,325
363,Bryan Cristante,25,186,Midfielder,Serie A,AS Roma,325
364,Florian Grillitsch,24,187,Midfielder,Bundesliga,TSG 1899 Hoffenheim,325
365,Eric Dier,26,188,Midfielder,Premier League,Tottenham Hotspur,325
366,James Tarkowski,27,185,Defender,Premier League,Burnley FC,325
367,Leandro Paredes,25,180,Midfielder,Ligue 1,Paris Saint-Germain,325
368,Jordan Veretout,27,177,Midfielder,Serie A,AS Roma,325
369,Remo Freuler,27,180,Midfielder,Serie A,Atalanta BC,325
370,Gerard Deulofeu,26,177,Forward,Premier League,Watford FC,325
371,Abdoulaye Doucouré,27,183,Midfielder,Premier League,Watford FC,325
372,Jesús Corona,27,173,Midfielder,Other league,FC Porto,325
373,Michael Keane,27,188,Defender,Premier League,Everton FC,325
374,Marcos Alonso,29,188,Defender,Premier League,Chelsea FC,325
375,Luka Milivojevic,28,186,Midfielder,Premier League,Crystal Palace,325
376,Sergio Canales,29,180,Midfielder,LaLiga,Real Betis Balompié,325
377,Dries Mertens,32,169,Forward,Serie A,SSC Napoli,325
378,Henrikh Mkhitaryan,31,177,Midfielder,Serie A,AS Roma,325
379,Aleksandar Mitrovic,25,188,Forward,Premier League,Fulham FC,325
380,Edinson Cavani,33,184,Forward,Ligue 1,Paris Saint-Germain,325
381,Moussa Sissoko,30,187,Midfielder,Premier League,Tottenham Hotspur,325
382,Leonardo Bonucci,32,190,Defender,Serie A,Juventus FC,325
383,Dusan Tadic,31,181,Forward,Other league,Ajax Amsterdam,325
384,Ivan Rakitic,32,184,Midfielder,LaLiga,FC Barcelona,325
385,Gerard Piqué,33,192,Defender,LaLiga,FC Barcelona,325
386,Daley Blind,30,180,Defender,Other league,Ajax Amsterdam,325
387,Pau López,25,189,Goalkeeper,Serie A,AS Roma,312
388,Moussa Marega,28,183,Forward,Other league,FC Porto,312
389,Domenico Berardi,25,183,Forward,Serie A,US Sassuolo,312
390,Marten de Roon,29,185,Midfielder,Serie A,Atalanta BC,312
391,Dennis Praet,25,181,Midfielder,Premier League,Leicester City,312
392,Oscar,28,179,Midfielder,Other league,Shanghai SIPG,312
393,Francis Coquelin,28,177,Midfielder,LaLiga,Valencia CF,312
394,Amadou Diawara,22,183,Midfielder,Serie A,AS Roma,299
395,Gabriel Barbosa,23,178,Forward,Other league,Clube de Regatas do Flamengo,299
396,Julian Weigl,24,186,Midfielder,Other league,SL Benfica,299
397,Matías Vecino,28,187,Midfielder,Serie A,Inter Milan,299
398,Paulinho,31,183,Midfielder,Other league,Guangzhou Evergrande Taobao,299
399,Matheus Henrique,22,175,Midfielder,Other league,Grêmio Foot-Ball Porto Alegrense,286
400,Mohamed Ihattaren,18,183,Midfielder,Other league,PSV Eindhoven,286
401,Lisandro Martínez,22,178,Defender,Other league,Ajax Amsterdam,286
402,Max Aarons,20,178,Defender,Premier League,Norwich City,286
403,Gabriel Magalhães,22,190,Defender,Ligue 1,LOSC Lille,286
404,Bukayo Saka,18,178,Midfielder,Premier League,Arsenal FC,286
405,Jean-Philippe Mateta,22,192,Forward,Bundesliga,1.FSV Mainz 05,286
406,Harvey Barnes,22,180,Midfielder,Premier League,Leicester City,286
407,Rafael Leão,20,188,Forward,Serie A,AC Milan,286
408,Ismaël Bennacer,22,175,Midfielder,Serie A,AC Milan,286
409,Sean Longstaff,22,181,Midfielder,Premier League,Newcastle United,286
410,Mouctar Diakhaby,23,192,Defender,LaLiga,Valencia CF,286
411,Christian Kouamé,22,185,Forward,Serie A,ACF Fiorentina,286
412,Sander Berge,22,195,Midfielder,Premier League,Sheffield United,286
413,Weston McKennie,21,185,Midfielder,Bundesliga,FC Schalke 04,286
414,Todd Cantwell,22,177,Midfielder,Premier League,Norwich City,286
415,Nikola Vlasic,22,178,Midfielder,Other league,CSKA Moscow,286
416,Eric Bailly,25,187,Defender,Premier League,Manchester United,286
417,Harry Wilson,23,173,Forward,Premier League,AFC Bournemouth,286
418,Florian Neuhaus,23,183,Midfielder,Bundesliga,Borussia Mönchengladbach,286
419,Angeliño,23,170,Defender,Bundesliga,RB Leipzig,286
420,Neal Maupay,23,173,Forward,Premier League,Brighton & Hove Albion,286
421,Ben Davies,26,181,Defender,Premier League,Tottenham Hotspur,286
422,Fred,27,169,Midfielder,Premier League,Manchester United,286
423,Luke Shaw,24,181,Defender,Premier League,Manchester United,286
